X1,X2,X3,fitness_value
-0.0041227,7.95553e-05,0.00836466,0.0230802
-0.00413442,9.40881e-05,0.00836058,0.0230846
-0.00413192,8.67898e-05,0.00836741,0.0230976
-0.00413192,8.67898e-05,0.00836741,0.0230976
-0.00415787,0.000105521,0.00837552,0.0231478
-0.00415778,9.3069e-05,0.00837748,0.0231519
-0.00413238,8.04208e-05,0.00839577,0.0231652
-0.00411641,5.49663e-05,0.00840485,0.0231677
-0.00409666,8.5892e-05,0.00841532,0.0231702
-0.00410256,8.83964e-05,0.00841532,0.0231771
-0.00409576,2.90528e-05,0.00842831,0.0231991
-0.00415766,7.27517e-05,0.00840352,0.0232129
-0.0041297,7.8648e-05,0.00841993,0.0232193
-0.00410292,5.39497e-05,0.00843549,0.0232247
-0.00413781,0.000100217,0.00841855,0.023226
-0.00410332,9.97805e-05,0.00843596,0.0232273
-0.00412681,8.849e-05,0.00842872,0.023237
-0.00411723,5.92825e-05,0.00843537,0.0232411
-0.00411721,0.000100528,0.00843601,0.0232435
-0.00410446,6.28504e-05,0.00844332,0.0232453
-0.00409259,3.51632e-06,0.00844951,0.0232457
-0.0041027,6.87667e-05,0.00844433,0.0232457
-0.00412403,6.31244e-05,0.00843506,0.0232483
-0.00410187,8.43007e-05,0.00844692,0.0232513
-0.00411272,5.37192e-05,0.00844229,0.0232522
-0.00408853,9.79925e-05,0.0084544,0.023254
-0.00409091,-1.00584e-05,0.00845494,0.0232567
-0.00408813,6.47686e-05,0.00845782,0.023261
-0.0041573,9.09064e-05,0.00842393,0.0232613
-0.00410047,4.52357e-05,0.00845227,0.0232617
gbest_X1,gbest_X2,gbest_X3,gbest
-0.0041227,7.95553e-05,0.00836466,0.0230802
