X1,X2,X3,fitness_value
-0.0040981,7.69324e-05,0.00845788,0.0232728
-0.00407568,7.1816e-05,0.0084852,0.023312
-0.00413466,0.00012298,0.00845761,0.0233158
-0.00416488,0.000108746,0.00844361,0.0233173
-0.00418301,-2.873e-06,0.00844922,0.0233502
-0.00408575,-5.11502e-05,0.00850163,0.0233623
-0.00406999,2.0817e-05,0.00852062,0.0233893
-0.00418707,-1.93869e-05,0.00847202,0.023409
-0.00424583,-2.93561e-05,0.00844974,0.0234257
-0.00416547,-7.08686e-05,0.00848982,0.0234267
-0.0041874,2.64913e-05,0.00848151,0.0234319
-0.00425427,-1.08078e-05,0.00844967,0.0234354
-0.00446132,9.42613e-05,0.00834977,0.0234543
-0.00427326,-0.000207718,0.00845963,0.0234876
-0.00420067,-6.44066e-05,0.00851838,0.0235354
-0.0045945,6.95978e-05,0.00831849,0.0235492
-0.0042481,-6.27782e-05,0.00850102,0.0235501
-0.00431652,6.59896e-05,0.00847565,0.0235717
-0.00431709,-4.28348e-05,0.00847648,0.023574
-0.00432984,-2.01518e-05,0.00847162,0.0235777
-0.00429941,-1.88744e-05,0.0084875,0.0235786
-0.00429513,5.82098e-05,0.00849045,0.0235809
-0.00439911,-9.99605e-05,0.00843986,0.0235884
-0.00440147,-0.000174768,0.00843777,0.0235893
-0.00429513,-5.18771e-05,0.00849802,0.0235987
-0.00425208,-5.63293e-05,0.00851993,0.0235994
-0.00441809,1.54583e-05,0.00845128,0.0236371
-0.00432508,-0.00030367,0.00850172,0.0236557
-0.00432526,-4.88025e-05,0.00850971,0.0236623
-0.00447042,4.36603e-06,0.00844272,0.0236816
gbest_X1,gbest_X2,gbest_X3,gbest
-0.0040981,7.69324e-05,0.00845788,0.0232728
