X1,X2,X3,fitness_value
-0.00413466,0.00012298,0.00845761,0.0233158
-0.00416488,0.000108746,0.00844361,0.0233173
-0.00418301,-2.873e-06,0.00844922,0.0233502
-0.00406999,2.0817e-05,0.00852062,0.0233893
-0.00432508,-0.00030367,0.00850172,0.0236557
-0.00447042,4.36603e-06,0.00844272,0.0236816
-0.00449448,-0.000520542,0.0084649,0.0238008
-0.00431652,-5.57027e-05,0.00857711,0.0238113
-0.00424032,-7.65418e-05,0.00863966,0.0238703
-0.0044473,0.000105855,0.00854428,0.0238929
-0.00454884,-0.000411961,0.00849498,0.0239248
-0.00443695,0.000112183,0.00856667,0.0239331
-0.00448208,-8.13919e-06,0.00856004,0.0239711
-0.00459912,0.000110608,0.0085126,0.0240075
-0.00464757,0.000107808,0.00849457,0.0240267
-0.00422773,-0.000331121,0.00872859,0.0240818
-0.00447435,-0.000116526,0.00861476,0.0240922
-0.00458082,-0.000451787,0.00855019,0.0240985
-0.00503631,-0.000766724,0.00830961,0.0241951
-0.00472339,-0.000480499,0.00851647,0.0242046
-0.00439045,-0.00035764,0.00871277,0.0242379
-0.00483165,-0.000388379,0.00853177,0.0243696
-0.00497611,-9.58833e-05,0.0084699,0.0243998
-0.00501706,-0.000590387,0.00843521,0.0244218
-0.00475072,-0.000190785,0.00861106,0.0244331
-0.00500279,-0.000141492,0.008474,0.0244467
-0.00403667,-4.45003e-05,0.00898275,0.0244642
-0.00472339,-0.000590387,0.00862293,0.0244679
-0.00503438,4.35507e-05,0.00848108,0.0245032
-0.00501417,-0.000523262,0.0084827,0.0245162
gbest_X1,gbest_X2,gbest_X3,gbest
-0.00413466,0.00012298,0.00845761,0.0233158
