X1,X2,X3,fitness_value
-0.0195236,0.0304072,-0.0103347,0.111698
0.0120923,0.0320448,0.0195626,0.118497
-0.0172967,0.0327623,0.0146211,0.119919
0.0014629,0.0331935,0.0246458,0.125654
-0.0270931,0.0342869,-0.00514477,0.135655
-0.00670362,0.0382595,0.0233215,0.14068
-0.000327159,0.0269341,0.0367327,0.14164
-0.00759526,0.0304072,0.0348943,0.146953
-0.0404309,0.0256104,0.0153608,0.160376
-0.0461877,0.0206829,0.0161176,0.171992
-0.0461626,0.0259432,0.00921212,0.174636
-0.051968,0.0202226,-0.0095163,0.186427
-0.0362984,0.0406107,0.0195146,0.192129
-0.0388519,0.0354448,0.0247013,0.193206
0.00675496,0.0542864,0.0200489,0.193636
-0.0501274,0.0201796,0.0229347,0.195661
-0.0400849,0.036361,0.0245954,0.199022
-0.0427231,0.0355629,0.0218017,0.20015
0.0122666,0.0494513,0.0334374,0.205452
-0.0439674,0.0318167,0.0281182,0.20636
-0.0502896,0.0255756,0.0253827,0.209552
-0.022689,0.0512809,0.0270406,0.211259
-0.0586994,0.00623725,-0.0206846,0.212324
-0.0319059,0.0474056,0.0262858,0.214203
-0.0324021,0.052927,0.0106534,0.214366
-0.0377137,0.048894,0.0186108,0.22132
-0.0593588,0.0178625,0.0183197,0.221712
-0.0578631,-0.0199382,-0.0213665,0.222616
-0.0541916,0.00798383,0.0352039,0.224013
-0.0517744,0.0252191,-0.030655,0.224688
gbest_X1,gbest_X2,gbest_X3,gbest
-0.0195236,0.0304072,-0.0103347,0.111698
