X1,X2,X3,fitness_value
-0.00412364,8.27525e-05,0.00836123,0.0230732
-0.00412364,8.27525e-05,0.00836123,0.0230732
-0.00412611,9.16727e-05,0.00836198,0.0230781
-0.0041227,7.95553e-05,0.00836466,0.0230802
-0.00412291,8.12676e-05,0.00836502,0.0230813
-0.00412938,9.17628e-05,0.00836262,0.0230835
-0.00413442,9.40881e-05,0.00836058,0.0230846
-0.00412612,8.32519e-05,0.00836489,0.0230848
-0.00411793,8.25367e-05,0.00836933,0.0230858
-0.00412619,7.96405e-05,0.00836563,0.0230865
-0.00412543,8.05569e-05,0.00836614,0.0230869
-0.00413126,8.11244e-05,0.00836343,0.0230873
-0.00412272,8.28874e-05,0.00836799,0.0230882
-0.00412713,8.2025e-05,0.00836675,0.0230904
-0.00412387,8.22655e-05,0.00836946,0.023093
-0.00413181,9.10863e-05,0.00836599,0.0230943
-0.00413186,7.96852e-05,0.00836615,0.0230944
-0.00413044,8.00289e-05,0.00836701,0.0230948
-0.00413063,8.1147e-05,0.00836712,0.0230953
-0.00411714,9.26716e-05,0.00837403,0.0230962
-0.00413134,8.1043e-05,0.0083673,0.0230966
-0.00412437,8.21499e-05,0.00837107,0.0230974
-0.00413192,8.67898e-05,0.00836741,0.0230976
-0.00413192,8.67898e-05,0.00836741,0.0230976
-0.00413232,8.21792e-05,0.00836741,0.023098
-0.00411542,8.30347e-05,0.00837584,0.0230983
-0.00412169,8.31354e-05,0.00837293,0.0230987
-0.00412845,8.55065e-05,0.00836969,0.0230989
-0.00413413,8.31951e-05,0.00836701,0.0230992
-0.00413169,8.54072e-05,0.0083684,0.0230997
gbest_X1,gbest_X2,gbest_X3,gbest
-0.00412364,8.27525e-05,0.00836123,0.0230732
