X1,X2,X3,fitness_value
-0.063412,0.933572,-0.0724307,2.28472
-0.119366,0.112245,0.376333,2.34709
-0.0655337,0.382705,0.200694,2.5288
-0.16201,-0.506153,0.0864999,2.78818
-0.275542,-0.0754092,-0.391123,2.82099
-0.275542,-0.0754092,-0.391123,2.82099
-0.167104,0.0788177,0.688581,2.90268
-0.0776871,-0.192594,0.749875,2.92736
-0.159441,-0.177795,0.775426,3.04655
-0.546117,0.236666,0.127375,3.13334
0.121648,0.993175,-0.25321,3.20251
-0.216242,-0.198611,0.637433,3.31493
-0.113076,-0.398606,0.441476,3.34718
-0.229861,-0.202449,0.688539,3.37032
0.45111,-0.197464,0.456237,3.62171
-0.328366,-0.398418,-0.375652,3.62393
-0.319926,-0.53317,0.27569,3.63532
-0.513601,0.554756,-0.0100638,3.65923
-0.806607,0.178833,0.865997,3.68023
-0.282556,-0.958812,-0.255504,3.68941
-0.154332,-0.405357,0.8092,3.69594
-0.394291,0.178099,-0.670482,3.72041
-1.02197,0.890571,0.975771,3.72398
-0.483568,0.0817773,0.662133,3.7278
0.382854,-0.262288,0.563149,3.77469
-0.33019,0.930992,0.248431,3.78165
0.153907,0.906098,-0.679533,3.80932
0.116935,-0.540266,0.806045,3.81235
0.134646,0.848189,-0.597446,3.84261
-0.470601,0.450401,-0.327842,3.88482
gbest_X1,gbest_X2,gbest_X3,gbest
-0.063412,0.933572,-0.0724307,2.28472
