X1,X2,X3,fitness_value
-0.0102982,-0.00343111,0.00939525,0.0368089
-0.0105891,-0.00552653,0.00869764,0.0379946
-0.0175879,-0.00634522,0.00768313,0.0539218
-0.0175879,-0.00634522,0.00768313,0.0539218
-0.014401,0.0204414,0.0107492,0.0759607
-0.00641586,0.0243728,0.0195667,0.0916687
-0.0034341,0.0166175,0.0271463,0.0920277
-0.00313555,0.0309543,-0.00942847,0.0937214
-0.00298067,0.0323696,-0.00164218,0.0938429
-0.0172967,0.022067,0.0184454,0.0974019
-0.00219576,0.0259052,0.0228635,0.101107
-0.0102245,0.00899222,0.0321421,0.102096
-0.0183656,0.030784,-0.00135062,0.105529
-0.00795667,0.0298295,0.0187803,0.10648
-0.00202582,0.0288854,0.0222966,0.10795
-0.00949731,0.0203106,0.029202,0.108927
-3.78677e-05,0.0329477,0.0165258,0.109063
-0.0317538,0.0136082,0.0128731,0.1091
-0.014347,0.0307911,0.0145099,0.109362
-0.0336439,0.0131302,0.00885341,0.110232
-0.0195236,0.0304072,-0.0103347,0.111698
-0.00322463,0.0334988,0.0176832,0.113251
0.00213339,0.0316744,0.0215602,0.114569
-4.88494e-05,0.0316019,0.0234811,0.118223
0.0120923,0.0320448,0.0195626,0.118497
-0.00158383,0.0319733,0.0231111,0.118637
-0.0027029,0.0287991,0.0272247,0.119529
-0.0172967,0.0327623,0.0146211,0.119919
-0.00940519,0.0326918,0.0210454,0.120557
-0.00972909,0.0328528,0.0211272,0.121492
gbest_X1,gbest_X2,gbest_X3,gbest
-0.0102982,-0.00343111,0.00939525,0.0368089
