X1,X2,X3,fitness_value
-0.00380316,0.000123832,0.00947612,0.0254326
-0.00471246,-0.000729353,0.00940253,0.026319
-0.00742355,-0.000547747,0.00872343,0.0288164
-0.00705067,-0.00115595,0.00946318,0.0298779
-0.00762244,-0.00171766,0.00919151,0.0304419
-0.00861449,-0.000241025,0.00865758,0.0308578
-0.00853856,0.00225582,0.00887148,0.0316886
-0.00600928,-0.00409373,0.0107531,0.0329665
-0.00600928,-0.00409373,0.0107531,0.0329665
-0.0112547,-0.00201153,0.00785559,0.035448
-0.00944393,0.00403523,0.00947392,0.0357302
-0.0108108,-0.00319669,0.00845416,0.036064
-0.00810031,0.00516903,0.0103663,0.0361864
-0.0102982,-0.00343111,0.00939525,0.0368089
-0.010464,-0.0041645,0.00894878,0.0368896
-0.0106731,0.00367166,0.0089772,0.0369941
-0.0104325,-0.00362179,0.00929256,0.0370253
-0.00808557,0.0060102,0.0106933,0.0377568
-0.0105891,-0.00552653,0.00869764,0.0379946
-0.0124854,-8.94087e-05,0.00813977,0.03836
-0.0123703,-0.00255954,0.00848504,0.0392493
-0.0106078,-0.00338821,0.010951,0.040394
-0.0118175,-0.00532028,0.0087969,0.0405236
-0.013022,-0.00403398,0.00815985,0.0411674
-0.0108633,-0.00264244,0.0112962,0.0411827
-0.0132256,-0.00193527,0.00874639,0.0414136
-0.00927651,0.00877121,0.00967846,0.0415492
-0.0137226,0.0015879,0.0084771,0.0420873
-0.0100789,0.00461384,0.0119197,0.0422884
-0.0139682,-0.00307682,0.00783761,0.0423811
gbest_X1,gbest_X2,gbest_X3,gbest
-0.00380316,0.000123832,0.00947612,0.0254326
