X1,X2,X3,fitness_value
-0.0626058,0.276114,-0.127417,1.79757
0.0609053,0.273655,-0.198781,2.05548
-0.0165018,0.267973,-0.229351,2.11646
0.0106937,0.280798,-0.240045,2.2183
0.0141091,0.34389,-0.172846,2.23578
-0.0110778,0.259058,-0.26626,2.23587
-0.0193714,0.274756,-0.267416,2.31065
-0.188887,0.304468,-0.138875,2.33112
0.0678056,0.264374,-0.272034,2.33328
-0.0148292,0.300752,-0.249388,2.34421
0.0343902,0.268288,-0.283002,2.35771
0.041174,0.257119,-0.29587,2.37123
0.0691199,0.259154,-0.289217,2.38502
0.0520467,0.298342,-0.256774,2.39094
-0.0786624,0.269741,-0.286413,2.43057
0.0519696,0.292517,-0.273053,2.43203
0.0149436,0.313901,-0.259635,2.43893
0.0742432,0.268956,-0.292675,2.44558
0.00655122,0.268342,-0.309881,2.45504
-0.0953744,0.266742,-0.289657,2.46117
0.0402185,0.279991,-0.303509,2.4916
-0.114592,0.269445,-0.285318,2.4941
0.0839218,0.272481,-0.2996,2.50192
0.0372976,0.27294,-0.316338,2.51205
0.0698526,0.268278,-0.314402,2.52179
-0.0978008,0.267639,-0.308607,2.54274
-0.108506,0.268013,-0.303312,2.54493
0.120539,0.285123,-0.27962,2.54524
-0.0303885,0.281254,-0.320145,2.55343
0.139029,0.272438,-0.286159,2.56607
gbest_X1,gbest_X2,gbest_X3,gbest
-0.0626058,0.276114,-0.127417,1.79757
