X1,X2,X3,fitness_value
-0.00130341,0.26176,-0.137528,1.69891
-0.0151124,0.262741,-0.135704,1.70093
-0.00752454,0.263113,-0.136093,1.70185
-0.0137112,0.263208,-0.135502,1.70215
0.00094086,0.261379,-0.13902,1.70239
-0.0089697,0.262305,-0.137515,1.70304
-0.0143666,0.262714,-0.136555,1.70359
-0.0153883,0.263392,-0.135566,1.70412
-0.0118993,0.263801,-0.13535,1.70417
-0.0118993,0.263801,-0.13535,1.70417
-0.0219114,0.262553,-0.136009,1.70475
-0.0150896,0.263621,-0.135466,1.70488
-0.0148096,0.262934,-0.136527,1.70489
-0.0129123,0.26377,-0.135501,1.70492
-0.00527343,0.263632,-0.136359,1.70527
-0.00556851,0.262196,-0.138476,1.70529
-0.0243154,0.262182,-0.136308,1.70546
-0.0150705,0.263624,-0.135621,1.70546
-0.00749756,0.263653,-0.136286,1.70553
-0.0212418,0.263153,-0.135509,1.70578
-0.0134371,0.263476,-0.136137,1.70585
-0.0135518,0.263526,-0.136075,1.70595
-0.0139307,0.263578,-0.13597,1.706
-0.0146123,0.263668,-0.135853,1.70636
-0.017263,0.262657,-0.137263,1.70726
-0.00219006,0.262362,-0.138943,1.70756
-0.0140113,0.263108,-0.137472,1.70901
-0.0200472,0.263149,-0.1367,1.70941
-0.00454113,0.263601,-0.137626,1.70968
-0.00245222,0.263599,-0.137735,1.70986
gbest_X1,gbest_X2,gbest_X3,gbest
-0.00130341,0.26176,-0.137528,1.69891
