X1,X2,X3,fitness_value
-0.573288,0.234421,-0.257759,3.45501
-0.841448,0.109473,-0.558432,3.79575
-0.968063,1.16182,0.278566,4.41545
-0.968063,1.16182,0.278566,4.41545
-0.6543,0.793053,-0.663841,4.59154
-0.885047,1.07503,-0.550152,4.63477
1.23523,1.07053,-1.85419,5.97689
-0.442748,1.40505,1.47232,6.59345
-1.06584,1.98683,1.57173,6.75568
-0.692167,1.32572,-2.0599,6.77215
1.79914,0.541872,-1.90227,6.97765
1.78251,0.683704,-1.61674,7.00627
0.102735,3.2227,-0.0457744,7.03423
-1.518,1.2971,-1.368,7.07455
-1.518,1.2971,-1.368,7.07455
-1.518,1.2971,-1.368,7.07455
-1.518,1.2971,-1.368,7.07455
1.72986,1.37618,1.27026,7.09372
0.307095,1.55673,2.16431,7.27537
-2.38835,0.395401,-1.25455,7.53047
-0.54044,2.50267,-1.11901,7.57105
0.084042,4.04451,-0.0428012,7.64887
1.90159,-0.159287,-2.65939,7.70074
-0.540682,1.93833,2.80439,8.18986
-0.7008,3.28654,-0.99288,8.20504
2.54071,1.74784,-0.442135,8.23299
0.799922,3.97432,1.10164,8.39275
1.96012,2.35822,1.66265,8.40792
-3.36116,-0.332283,-0.257759,8.51913
-1.60248,-2.62356,-1.54622,8.8376
gbest_X1,gbest_X2,gbest_X3,gbest
-0.573288,0.234421,-0.257759,3.45501
