X1,X2,X3,fitness_value
-0.00668971,0.26139,-0.136334,1.69307
-0.00741889,0.261752,-0.136311,1.69514
-0.00806553,0.261879,-0.136238,1.69572
-0.0129411,0.26205,-0.135859,1.69678
-0.00960272,0.262478,-0.135674,1.69733
-0.00768517,0.262478,-0.135849,1.69749
-0.00323196,0.262477,-0.136122,1.69777
-0.00293441,0.26281,-0.135677,1.69793
-0.00750264,0.26265,-0.135783,1.69815
-0.0104965,0.262175,-0.136289,1.6982
-0.00274454,0.262105,-0.136851,1.69838
-0.00609903,0.262451,-0.136224,1.6984
-0.00221999,0.262611,-0.136168,1.6986
-0.00716879,0.262661,-0.135934,1.6987
-0.00587277,0.262495,-0.136272,1.69878
-0.00756935,0.262531,-0.13614,1.69883
-0.00760408,0.262505,-0.136179,1.69884
-0.0082298,0.262479,-0.136183,1.69886
-0.00584282,0.262479,-0.136323,1.69887
-0.0073049,0.262887,-0.135641,1.69889
-0.00130341,0.26176,-0.137528,1.69891
-0.00694439,0.262581,-0.136126,1.69892
-0.0042263,0.262478,-0.136427,1.69901
-0.00666903,0.262361,-0.136499,1.69903
-0.00716777,0.262803,-0.13582,1.69906
-0.00425202,0.262443,-0.136496,1.69908
-0.00988175,0.262477,-0.136169,1.69924
-0.00861149,0.262666,-0.13601,1.69934
-0.010967,0.262511,-0.13608,1.69944
-0.0126504,0.262535,-0.135903,1.6995
gbest_X1,gbest_X2,gbest_X3,gbest
-0.00668971,0.26139,-0.136334,1.69307
