X1,X2,X3,fitness_value
-0.861474,1.03198,0.0801258,3.29733
-0.228708,1.12553,-0.0457213,3.38379
0.219612,0.237984,-0.591416,3.3906
-0.573288,0.234421,-0.257759,3.45501
-0.555934,0.258805,-0.243873,3.45853
-0.520701,0.386825,-0.184673,3.57913
0.759076,0.258814,-0.279025,3.64436
0.187179,1.00404,-0.839666,3.65468
-1.03914,0.211474,-1.02281,3.76551
-0.841448,0.109473,-0.558432,3.79575
-0.452789,0.640596,0.235086,3.91577
-0.866751,0.546718,-0.181114,3.9379
-1.11168,0.170791,-0.822259,3.93984
-0.716466,0.697072,0.211529,4.03806
-0.271327,0.955038,-0.45529,4.13183
-0.588783,0.462096,-0.426803,4.20792
0.874934,0.295404,-0.612186,4.22611
-1.05299,0.219637,-0.580678,4.26038
-0.0654588,0.957964,-1.28624,4.36506
-0.968063,1.16182,0.278566,4.41545
-0.968063,1.16182,0.278566,4.41545
-0.8449,0.804999,-0.641522,4.47465
1.19558,1.13074,-0.157112,4.50739
-1.20401,0.152514,-0.694036,4.51236
0.877175,0.674326,-0.470003,4.52461
-0.6543,0.793053,-0.663841,4.59154
-0.885047,1.07503,-0.550152,4.63477
-0.234182,0.293355,-1.26992,4.64768
-0.999963,1.28517,-0.185297,4.68651
-1.07657,1.91562,-0.0434086,4.73145
gbest_X1,gbest_X2,gbest_X3,gbest
-0.861474,1.03198,0.0801258,3.29733
