X1,X2,X3,fitness_value
-0.0953744,0.266742,-0.289657,2.46117
0.0567435,0.307939,-0.322966,2.68337
0.024616,0.596309,-0.21949,3.00815
0.226873,0.311929,-0.326538,3.05934
-0.295498,0.38288,-0.220629,3.15318
-0.384983,0.258814,-0.262152,3.16637
-0.179775,0.214467,-0.722997,3.25752
-0.346701,0.502827,0.0536585,3.27387
-0.861474,1.03198,0.0801258,3.29733
0.0299255,0.402167,-0.460492,3.31817
-0.228708,1.12553,-0.0457213,3.38379
0.219612,0.237984,-0.591416,3.3906
-0.535147,0.272887,-0.236177,3.44587
-0.739908,0.960321,-0.0179071,3.44762
-0.573288,0.234421,-0.257759,3.45501
-0.555934,0.258805,-0.243873,3.45853
-0.307159,0.498435,-0.242528,3.48216
-0.952075,1.11248,0.0900479,3.48763
-0.952075,1.11248,0.0900479,3.48763
-0.380434,0.67011,0.0100367,3.48994
0.251179,0.492966,-0.326538,3.53542
-0.820605,0.801065,0.10337,3.5368
-0.447112,0.266226,-0.350743,3.53712
-0.316137,0.286605,-0.477048,3.56061
-0.520701,0.386825,-0.184673,3.57913
-0.273838,0.306715,-0.534303,3.60459
-0.178942,0.435425,-0.487979,3.61468
-0.44563,0.430932,-0.237046,3.63908
0.759076,0.258814,-0.279025,3.64436
0.187179,1.00404,-0.839666,3.65468
gbest_X1,gbest_X2,gbest_X3,gbest
-0.0953744,0.266742,-0.289657,2.46117
