X1,X2,X3,fitness_value
-0.0953744,0.266742,-0.289657,2.46117
0.0567435,0.307939,-0.322966,2.68337
0.024616,0.596309,-0.21949,3.00815
-0.179775,0.214467,-0.722997,3.25752
-0.861474,1.03198,0.0801258,3.29733
-0.228708,1.12553,-0.0457213,3.38379
0.219612,0.237984,-0.591416,3.3906
-0.739908,0.960321,-0.0179071,3.44762
-0.573288,0.234421,-0.257759,3.45501
-0.555934,0.258805,-0.243873,3.45853
-0.952075,1.11248,0.0900479,3.48763
0.251179,0.492966,-0.326538,3.53542
-0.820605,0.801065,0.10337,3.5368
-0.316137,0.286605,-0.477048,3.56061
-0.520701,0.386825,-0.184673,3.57913
-0.178942,0.435425,-0.487979,3.61468
0.759076,0.258814,-0.279025,3.64436
0.187179,1.00404,-0.839666,3.65468
-1.03914,0.211474,-1.02281,3.76551
-0.841448,0.109473,-0.558432,3.79575
-0.729117,1.02887,-0.144655,3.81402
-0.452789,0.640596,0.235086,3.91577
-0.955512,1.14338,0.174901,3.9279
-0.866751,0.546718,-0.181114,3.9379
-1.11168,0.170791,-0.822259,3.93984
-0.716466,0.697072,0.211529,4.03806
-0.454601,0.251512,-0.946029,4.0704
-0.271327,0.955038,-0.45529,4.13183
0.711104,0.270714,-0.593286,4.15763
-0.588783,0.462096,-0.426803,4.20792
gbest_X1,gbest_X2,gbest_X3,gbest
-0.0953744,0.266742,-0.289657,2.46117
