X1,X2,X3,fitness_value
-1.518,1.2971,-1.368,7.07455
-1.518,1.2971,-1.368,7.07455
2.14621,3.97217,1.58917,9.92858
5.16116,1.31301,-0.119628,10.5681
6.07196,2.09248,1.75293,11.6519
4.43876,3.59559,-0.87321,11.7521
1.76267,3.93313,4.76749,11.7522
-1.51016,5.91488,1.94784,11.8656
-0.66264,6.38857,-0.90754,12.4011
2.70568,5.86424,-0.55573,12.4261
-2.01695,5.47548,3.86993,12.549
1.65,6.44,-0.77,12.855
-5.35783,5.19167,1.92342,13.2735
-6.22718,-2.5522,4.10594,13.6761
6.54256,3.3815,-1.34339,13.8207
0.967552,5.34,-6.27919,13.9567
-7.97084,3.71637,-0.200968,14.0441
-1.7015,7.6274,0.56244,14.0979
1.5596,8.156,0.7294,14.2341
-5.80943,4.53586,4.19593,14.295
2.02908,7.0772,-8.12402,14.7163
0.670064,9.33536,1.28846,15.3369
-11.1976,0.992221,-4.972,15.7234
8.07662,-2.68362,-6.7488,15.8413
-10.4479,0.120912,-4.08093,15.9992
9.09079,-5.72922,-1.46029,16.083
12.2538,1.00281,-3.00815,16.1494
-0.61,10.34,2.8,16.2074
-0.161,-11.5976,-2.93188,16.4633
-2.1784,-0.63276,-11.9771,16.5384
gbest_X1,gbest_X2,gbest_X3,gbest
-1.518,1.2971,-1.368,7.07455
