X1,X2,X3,fitness_value
-0.00668971,0.26139,-0.136334,1.69307
-0.00442731,0.261777,-0.136355,1.6949
-0.00741889,0.261752,-0.136311,1.69514
-0.00806553,0.261879,-0.136238,1.69572
-0.00765303,0.262059,-0.136083,1.69604
-0.00490028,0.262207,-0.136029,1.69613
-0.00779763,0.262229,-0.135876,1.69624
-0.00215197,0.261918,-0.136684,1.69668
-0.0129411,0.26205,-0.135859,1.69678
-0.0126678,0.262074,-0.135862,1.69682
-0.00960272,0.262478,-0.135674,1.69733
-0.00768517,0.262478,-0.135849,1.69749
-0.0128924,0.261953,-0.136208,1.69752
-0.0074418,0.262544,-0.135785,1.69756
-0.00323196,0.262477,-0.136122,1.69777
-0.00614025,0.262464,-0.136037,1.69779
-0.00293441,0.26281,-0.135677,1.69793
-0.00899246,0.262215,-0.136282,1.69796
-0.00472703,0.262648,-0.135899,1.69806
-0.00750264,0.26265,-0.135783,1.69815
-0.00680408,0.26239,-0.136223,1.69819
-0.00774189,0.262523,-0.135972,1.6982
-0.0104965,0.262175,-0.136289,1.6982
-0.00272427,0.262509,-0.136222,1.69827
-0.00859168,0.262719,-0.135658,1.69833
-0.00274454,0.262105,-0.136851,1.69838
-0.00609903,0.262451,-0.136224,1.6984
-0.0066474,0.262524,-0.136124,1.69854
-0.00221999,0.262611,-0.136168,1.6986
-0.00789241,0.262554,-0.136038,1.69866
gbest_X1,gbest_X2,gbest_X3,gbest
-0.00668971,0.26139,-0.136334,1.69307
