X1,X2,X3,pbest
-1.23813e-08,1.22081e-07,1.68218e-07,4.80858e-07
-8.01201e-08,-7.14085e-08,9.2546e-08,3.27277e-07
7.94949e-05,0.000424699,-0.000655368,0.000593227
-2.25066e-08,-3.03421e-07,9.33995e-08,5.37684e-07
-7.67314e-08,-7.9072e-08,9.34557e-08,3.33659e-07
5.91003e-07,1.12531e-05,-2.43278e-06,2.66256e-05
0.0332056,0.00619623,-0.0174624,0.0164001
-8.52937e-08,-1.56936e-07,8.54278e-08,4.5725e-07
-9.25546e-07,2.57394e-06,8.53149e-08,6.32008e-06
-0.00212358,0.00496093,-0.00765997,0.000404329
7.85086e-07,-4.03272e-07,-9.46008e-08,2.04997e-06
1.39064e-07,-3.12281e-07,2.63339e-07,9.96546e-07
0.000248528,-0.000396468,-0.000707802,0.000782532
0.0126611,0.00477998,0.00139584,0.0347021
-1.53559e-07,1.41404e-07,-2.43336e-09,4.82115e-07
1.66042e-07,2.35619e-07,3.40977e-07,1.03112e-06
-5.15311e-08,2.68584e-07,1.39925e-07,7.09451e-07
4.81198e-07,-2.78521e-06,-1.01522e-05,2.43392e-05
-9.11182e-08,-2.99902e-07,5.86583e-08,7.36423e-07
1.50972e-08,3.45766e-07,2.51765e-06,5.86905e-06
-7.27943e-08,-6.49087e-08,9.99005e-08,3.22427e-07
0.00788185,-0.00244646,0.0961293,0.378407
-4.37437e-06,0.000120967,3.12969e-05,0.000289013
-1.12818e-07,2.43377e-07,5.73102e-08,6.33489e-07
6.07861e-06,-7.33713e-05,-0.000220267,0.000537306
2.85778,-0.301252,2.55571,0.234467
-1.13852e-07,8.24053e-07,-1.7095e-06,4.39062e-06
1.29078e-06,4.2625e-07,1.36536e-06,1.66308e-06
1.5608e-07,1.78609e-07,4.32588e-07,1.13935e-06
-1.90864e-07,2.40338e-07,5.12833e-09,7.08869e-07
gbest_X1,gbest_X2,gbest_X3,gbest
-7.27943e-08,-6.49087e-08,9.99005e-08,3.22427e-07
