X1,X2,X3,pbest
1.95048e-07,-5.39822e-07,4.22061e-07,1.64534e-06
2.20958e-07,-4.97749e-07,4.50947e-07,1.63289e-06
2.91378e-05,0.000154233,-0.000238643,0.000593227
-1.13511e-07,-1.05072e-06,6.26869e-08,2.44496e-06
1.39211e-07,-3.82913e-07,5.45971e-07,1.57326e-06
-2.15982e-05,-0.000366511,8.2513e-05,0.000871553
0.00594757,0.00111012,-0.0031252,0.0164001
2.14355e-07,-7.34045e-07,2.70608e-07,1.87333e-06
2.00688e-06,-7.6921e-06,9.02173e-08,1.83611e-05
-0.000321334,0.000759001,-0.00116998,0.000404329
7.69956e-07,-8.05892e-07,1.50376e-07,2.25752e-06
2.68229e-07,-4.85895e-07,4.54821e-07,1.65716e-06
-0.00142919,0.00229347,0.0040941,0.000782532
0.0279865,0.0105659,0.00308535,0.0854219
3.19803e-07,-1.21293e-07,7.42111e-07,1.88711e-06
2.09554e-07,-5.24136e-07,4.32224e-07,1.64188e-06
-1.39298e-07,-5.02253e-07,1.07988e-07,1.22926e-06
-3.39885e-06,1.66113e-05,6.15258e-05,0.000147457
-2.08736e-07,-1.24659e-06,-6.71292e-08,2.92311e-06
7.28954e-06,2.29524e-05,0.000230659,0.000536535
-7.11466e-08,5.66635e-07,2.36272e-07,1.42729e-06
5.8233,-17.16,6.5288,2.39327
-8.30561e-06,0.000227611,5.89879e-05,0.000544331
-5.45423e-09,-7.6198e-07,2.77395e-07,1.87275e-06
0.000141651,-0.00180074,-0.00540411,0.00567745
2.27747,-0.222067,2.02837,0.234467
3.22042e-07,-9.36852e-06,1.91709e-05,4.92908e-05
3.00503e-07,-4.312e-07,4.92293e-07,1.66308e-06
8.55667e-08,-5.50418e-07,4.26418e-07,1.62007e-06
1.90341e-07,-5.42462e-07,4.2057e-07,1.645e-06
gbest_X1,gbest_X2,gbest_X3,gbest
-1.39298e-07,-5.02253e-07,1.07988e-07,1.22926e-06
