X1,X2,X3,pbest
0.0879266,-0.0327062,0.955846,2.28159
3.066,1.37386,-6.1284,12.4424
-1.05886,0.0809323,1.06693,3.43435
0.108401,-0.0435948,0.974337,2.37932
0.0190388,0.0845898,1.1352,2.86933
0.136418,-0.0603288,0.657813,2.80431
1.57378,0.286452,-0.819783,5.67419
-1.11417,-1.52912,1.22442,6.32371
0.102652,0.0154612,1.21869,3.41138
-0.204302,-0.694531,1.08593,4.21085
-6.76136,-7.76515,1.73455,14.0427
0.0494392,0.00532715,0.813044,2.33408
22.1593,-14.8127,-0.363229,8.94718
11.2528,-0.443233,2.73837,10.4158
0.0727513,-0.0109313,0.68459,2.60058
0.0415335,-0.0320557,0.635391,2.60231
-7.30494,16.5001,3.90495,6.21843
-0.1183,-0.180488,0.667286,3.02689
0.0415034,0.0420507,1.12625,2.75509
0.0494114,0.0225013,0.973414,2.19359
14.5005,-14.6381,11.5789,12.8541
0.0597763,-0.0150797,0.766481,2.45079
0.517522,-0.644508,0.974557,4.64928
0.0619487,-0.00985738,1.1414,2.84871
-0.0564923,0.478073,1.24353,4.57645
0.886093,-0.798989,1.04289,4.10085
2.3708,-3.03652,0.0370325,6.08752
-2.41198,4.41698,1.06272,6.8452
-0.00967843,-0.145008,0.77419,2.65771
5.86703,5.92884,13.9919,11.4061
gbest_X1,gbest_X2,gbest_X3,gbest
0.0494114,0.0225013,0.973414,2.19359
