X1,X2,X3,pbest
0.0964607,0.0295906,1.22498,2.28159
-0.0379234,-0.126883,0.000301801,0.586307
3.49598,0.374278,3.32803,3.43435
0.0552851,-0.0295035,0.844905,2.29291
-0.0172381,0.387029,2.21237,2.57305
0.0107273,-0.086218,-0.00147063,0.328356
4.50607,0.828037,-4.26079,5.67419
0.0190458,-0.0645788,0.0493424,0.312346
0.0134799,-0.102816,-0.0160985,0.424828
0.00818578,-0.0195666,0.194727,0.990282
12.0064,14.0264,0.566502,11.3129
0.0156977,-0.120023,0.0320734,0.54269
0.143375,-0.148164,-0.0752061,1.19932
12.7811,-1.39296,5.74793,10.4158
0.0135857,-0.0517054,0.170804,0.885917
0.0105736,-0.0822091,0.0181292,0.318191
-13.8022,31.7166,10.6279,6.21843
0.0121354,-0.0859557,-0.00993931,0.330915
0.0105736,-0.0822091,0.0181292,0.318191
0.0883642,0.407557,2.94378,2.1804
1.14101,-1.21113,0.972412,4.85011
0.15173,0.174691,2.16195,2.39327
0.0778993,-0.101279,0.314859,1.95029
0.0403773,0.234051,1.41791,2.56169
-0.0686062,0.817204,2.35253,2.93026
-0.0951019,0.0023013,-0.0825501,0.551471
6.12031,-8.06309,-2.42589,6.08752
-13.6523,24.6781,1.0119,6.8452
0.0175214,-0.0744212,-0.3919,2.17244
17.66,18.913,23.6567,11.4061
gbest_X1,gbest_X2,gbest_X3,gbest
0.0190458,-0.0645788,0.0493424,0.312346
