X1,X2,X3,pbest
-2.49484e-08,1.1946e-08,-6.36652e-08,1.60306e-07
-2.36181e-08,7.22808e-09,-1.00147e-08,6.15512e-08
-1.12389e-07,-4.81927e-07,7.54933e-07,2.08463e-06
-2.63928e-08,2.83879e-08,-1.88195e-08,9.95089e-08
-3.35392e-08,1.7578e-08,-1.25333e-07,1.40195e-07
-1.03553e-07,-1.34924e-06,2.65058e-07,3.18451e-06
-0.1612,-0.0300767,0.0847925,0.0164001
-3.05398e-08,2.47023e-08,-5.88798e-08,1.63458e-07
1.15966e-05,-3.54836e-05,-4.43187e-07,6.32008e-06
0.00579658,-0.0133386,0.0206508,0.000404329
-2.29253e-08,6.08736e-09,1.76007e-09,5.4929e-08
-2.34037e-08,8.53627e-09,-7.58202e-09,6.01371e-08
-4.31794e-06,8.61909e-06,1.52446e-05,4.16603e-05
8.88656e-06,3.37549e-06,9.56858e-07,2.20658e-05
-2.05136e-08,-5.49709e-09,4.56e-09,5.01634e-08
-2.16551e-08,3.87349e-08,-3.18953e-08,1.06789e-07
-2.20908e-08,5.14529e-08,-3.01156e-07,1.90363e-07
-2.35376e-08,6.24607e-09,2.07825e-09,5.64434e-08
-2.33372e-08,7.60582e-09,6.74615e-09,5.87871e-08
-2.35376e-08,6.24607e-09,2.07825e-09,5.64434e-08
-2.73185e-08,1.31742e-08,6.57436e-08,1.67206e-07
7.25873e-05,-2.2532e-05,0.000885586,0.00206672
-6.85316e-08,1.25021e-06,3.51268e-07,3.00324e-06
-2.42287e-08,1.07042e-08,2.19882e-09,6.13815e-08
-2.7418e-08,5.21738e-08,1.37537e-07,3.45565e-07
-4.17585,0.417637,-3.72398,0.234467
7.03756e-07,-1.52152e-05,3.05268e-05,4.39062e-06
-2.98567e-06,-7.00569e-07,-2.88395e-06,1.66308e-06
-2.38084e-08,4.26619e-09,5.50752e-09,5.72886e-08
-2.52571e-08,4.28024e-08,-1.77044e-08,1.2184e-07
gbest_X1,gbest_X2,gbest_X3,gbest
-2.05136e-08,-5.49709e-09,4.56e-09,5.01634e-08
