X1,X2,X3,pbest
-5.05294e-08,2.04608e-08,6.3909e-08,1.93993e-07
-4.27815e-08,2.75302e-08,7.1658e-08,2.02952e-07
5.72205e-06,3.16498e-05,-4.85772e-05,0.000134605
-2.30751e-08,-1.36437e-07,7.91822e-08,3.68184e-07
-3.99702e-08,6.83104e-08,7.65167e-08,2.54231e-07
4.25445e-07,7.99852e-06,-1.70263e-06,1.89124e-05
0.199313,0.0371903,-0.104827,0.0164001
-4.63484e-08,-2.13021e-08,6.58224e-08,1.92313e-07
-3.78144e-06,1.15145e-05,4.56528e-08,6.32008e-06
-0.00169559,0.00393924,-0.00608825,0.000404329
-4.43803e-07,1.28665e-07,1.5577e-07,1.12613e-06
-4.68342e-08,-2.55584e-09,6.62977e-08,1.87551e-07
0.000498968,-0.000802667,-0.00143237,0.000782532
-0.000258329,-9.74861e-05,-2.8401e-05,0.000642385
-3.12844e-07,6.96848e-07,-2.20909e-07,4.82115e-07
-3.96225e-08,6.77108e-08,7.70484e-08,2.53941e-07
-4.35265e-08,6.48144e-09,6.96998e-08,1.90363e-07
1.44815e-07,-8.41094e-07,-3.33925e-06,7.95977e-06
-3.6292e-08,9.33483e-08,8.6744e-08,3.0599e-07
-4.53847e-08,2.22428e-08,-3.8305e-08,1.46457e-07
-4.22251e-08,2.68912e-08,7.21493e-08,2.02802e-07
0.0014124,-0.000438371,0.0172264,0.0452255
1.77599e-06,-5.10777e-05,-1.31031e-05,0.000121897
-3.81908e-08,-6.14695e-08,7.44381e-08,2.39756e-07
2.15981e-07,-3.05438e-06,-9.18357e-06,2.2358e-05
4.58102,-0.490821,4.10047,0.234467
-1.53589e-07,1.91969e-06,-3.88939e-06,4.39062e-06
1.8268e-06,7.89669e-08,1.90579e-06,1.66308e-06
-4.60598e-08,1.54771e-09,6.59517e-08,1.85811e-07
-3.26754e-07,7.79902e-07,-1.36492e-07,7.08869e-07
gbest_X1,gbest_X2,gbest_X3,gbest
-4.53847e-08,2.22428e-08,-3.8305e-08,1.46457e-07
