X1,X2,X3,pbest
0.000378471,-0.0177703,-0.165392,0.797269
0.00681183,-0.0175906,-0.00177853,0.0501161
17.2756,1.47806,11.5771,3.43435
0.00713456,-0.0130412,-0.00759002,0.0434847
0.004739,-0.00519034,0.0699654,0.247391
0.00570018,-0.0240075,0.00589153,0.0699669
7.88486,1.50882,-7.38089,5.67419
0.00751369,-0.0159673,-0.00299356,0.047013
0.0035475,-0.0212464,-0.00097345,0.0580256
0.00652711,-0.00912623,-0.00848495,0.0359966
-25.73,25.29,1.77347,11.3129
0.00680509,-0.01764,-0.00136504,0.0501436
0.00699964,-0.0179227,-0.00149682,0.0511671
-20.73,-3.58095,16.0729,10.4158
0.00276888,-0.0190589,-0.00921046,0.0573715
0.00627003,-0.0188996,-0.000718255,0.0530472
-19.29,-24.85,2.09,6.21843
0.0121578,-0.0136527,-0.00885977,0.0542284
0.00241935,-0.0169471,-0.0108264,0.0540448
0.446037,2.73123,17.3943,2.1804
0.32214,-0.331605,0.261048,3.19052
1.47938,2.69713,23.1471,2.39327
0.00870684,-0.0132076,-0.00505912,0.0432461
0.00478331,0.135413,0.216591,1.43623
-0.0114142,0.268158,0.958815,2.3098
0.280615,-0.155518,0.290053,0.234467
25.9607,23.15,-22.1277,6.08752
-1.44788,2.67715,0.551184,6.8452
0.000616005,-0.0240945,-0.167528,0.81673
-0.0452582,-0.813941,0.298602,3.20683
gbest_X1,gbest_X2,gbest_X3,gbest
0.00652711,-0.00912623,-0.00848495,0.0359966
