X1,X2,X3,pbest
9.80232e-07,-1.4772e-07,1.10933e-06,3.43576e-06
1.02573e-06,1.99638e-07,1.36679e-06,3.97336e-06
4.16569e-05,0.000221705,-0.000343835,0.000952699
7.9137e-07,2.01307e-07,1.41675e-06,3.77645e-06
5.2486e-07,-1.27856e-06,3.08839e-07,3.27058e-06
-0.000151308,-0.00254259,0.000570555,0.00614897
0.00847497,0.00158185,-0.00445328,0.0164001
9.56024e-07,-1.92192e-06,-2.49203e-07,4.99066e-06
-0.000505036,0.00198379,9.14704e-05,0.00480674
-0.000246303,0.000574537,-0.000888106,0.000404329
1.11721e-06,-1.76244e-06,-1.38582e-07,4.82974e-06
1.26795e-06,6.64298e-07,1.68503e-06,5.10608e-06
-0.000420965,0.000673027,0.00120411,0.000782532
-0.0424034,-0.0160108,-0.00467364,0.141645
8.06387e-07,6.17315e-07,1.76492e-06,4.70256e-06
1.27317e-06,3.08964e-07,1.40909e-06,4.44346e-06
2.96044e-05,-4.76706e-06,2.83336e-05,9.53035e-05
1.36681e-05,-6.30736e-05,-0.000221845,0.000534515
1.04928e-06,7.10372e-07,1.75129e-06,4.99215e-06
-1.08764e-05,-3.79045e-05,-0.000362709,0.000844941
-2.6411e-07,1.11544e-06,1.88504e-07,2.68281e-06
3.31582,20.7178,4.515,2.39327
0.000128577,-0.000775485,-0.000217937,0.00144065
9.7185e-07,-1.0492e-07,1.14036e-06,3.46871e-06
0.000208469,-0.00272607,-0.00817096,0.00567745
1.56787,-0.145723,1.39306,0.234467
2.40175e-06,-0.000111809,0.000237716,0.000607926
1.61481e-07,-9.91055e-07,5.64045e-07,2.65976e-06
9.0923e-07,-7.27661e-07,6.78751e-07,3.11292e-06
2.37792e-07,-2.29232e-06,-4.12653e-07,5.40703e-06
gbest_X1,gbest_X2,gbest_X3,gbest
1.61481e-07,-9.91055e-07,5.64045e-07,2.65976e-06
