X1,X2,X3,pbest
-4.71032e-09,-3.19744e-09,-2.52954e-09,1.43869e-08
-4.03169e-09,8.26658e-10,6.83508e-09,1.84255e-08
-9.74584e-09,-1.93558e-08,2.94065e-08,8.43602e-08
-5.51634e-09,-1.67525e-09,5.54705e-10,1.33754e-08
-6.54754e-09,-2.81302e-10,4.86412e-09,1.8848e-08
-3.62527e-08,-4.27576e-07,9.02588e-08,8.71679e-07
-0.481319,-0.089804,0.25318,0.0164001
-5.54481e-09,-1.72345e-09,1.98351e-10,1.34173e-08
1.16899e-05,-3.56745e-05,-4.61356e-07,6.32008e-06
-0.0080055,0.0183908,-0.0284813,0.000404329
-5.03825e-09,2.76272e-09,9.76939e-09,1.93683e-08
-5.3969e-09,1.45499e-09,6.45811e-09,1.97249e-08
5.2929e-09,-2.24367e-08,-3.59276e-08,9.85823e-08
-1.13999e-07,-3.76782e-08,-8.30139e-11,2.30879e-07
-4.4654e-09,-2.24343e-11,3.61558e-09,1.32691e-08
-4.4781e-09,1.37962e-09,6.99846e-09,1.89699e-08
-7.65383e-08,-2.37278e-07,1.79373e-06,1.90363e-07
-5.38204e-09,-1.14879e-09,1.82863e-09,1.33925e-08
-4.88488e-09,-5.34388e-10,2.92464e-09,1.32063e-08
-4.97222e-09,-7.43451e-10,3.00651e-09,1.35282e-08
-5.341e-09,-9.19954e-10,2.11766e-09,1.34377e-08
1.61233e-06,-5.03265e-07,1.97357e-05,4.57513e-05
-4.92745e-09,-3.43842e-09,-1.94463e-09,1.45847e-08
-4.55386e-09,-9.14963e-10,3.8752e-09,1.39699e-08
-5.23897e-09,-7.82714e-10,2.40782e-09,1.34377e-08
-14.47,-13.1259,26.88,0.234467
-1.7011e-06,3.61123e-05,-7.24416e-05,4.39062e-06
5.89572e-06,4.05816e-06,4.80589e-06,1.66308e-06
-6.0543e-09,-5.13373e-10,1.07127e-09,1.42484e-08
-4.45576e-09,1.31296e-09,7.35029e-09,1.88951e-08
gbest_X1,gbest_X2,gbest_X3,gbest
-4.88488e-09,-5.34388e-10,2.92464e-09,1.32063e-08
