X1,X2,X3,pbest
1.02464,-1.35206,0.777568,5.3892
-3.29,-1.47338,9.10767,15.4051
0.985323,-0.0205658,1.13884,3.50752
0.799133,-0.798075,1.2283,4.94468
0.234952,-0.117337,2.20648,4.50757
-0.0882471,0.170937,1.76091,4.82573
9.58909,1.67782,-9.99072,17.8147
-2.70868,-3.66622,1.8144,10.4829
-0.100776,0.226026,1.75591,4.81956
0.514824,1.30854,1.01585,5.46187
5.61932,6.52672,1.3783,14.0427
0.0616486,0.0996857,1.88498,4.3467
-15.2823,9.95356,2.72697,8.94718
-20.1091,0.979113,-1.12799,10.4158
0.031054,0.072117,1.5968,4.6661
0.0701451,0.086166,1.57637,4.7158
2.99058,-6.51114,0.31983,6.21843
0.271403,0.281863,1.59943,5.49835
-0.112124,0.0779866,1.79025,4.4702
0.0617643,0.0281267,1.21677,3.31817
-10.9301,10.7135,-3.59209,12.8541
0.0488614,0.103437,1.75163,4.3637
-0.656759,1.10701,1.72733,5.71533
0.0925503,0.0633752,2.3246,4.45486
-3.04284,4.79106,0.484139,7.16032
-14.0337,14.5934,12.1639,6.74473
-0.693507,1.12988,2.69142,6.08752
2.33778,-4.0173,1.32443,6.8452
-0.149271,-0.570122,0.505251,3.78735
-6.69614,-9.23764,-15.2984,11.4061
gbest_X1,gbest_X2,gbest_X3,gbest
0.0617643,0.0281267,1.21677,3.31817
