X1,X2,X3,fitness_val
8.17181,11.8536,17.0392,19.2176
-2.8633e-08,-1.22564e-08,9.304e-09,7.50692e-08
0.245583,0.0938875,0.0152484,1.46202
-3.15557e-08,-1.41954e-08,2.83649e-09,8.01771e-08
0.000642078,-0.00100877,-0.00101912,0.00367221
-9.06762e-06,-8.36881e-07,-1.71746e-05,4.48999e-05
1.49888e-08,4.06643e-09,9.80918e-09,4.24214e-08
-0.0413544,1.00328,-0.331393,3.38103
2.34513e-06,-1.95405e-06,-9.73783e-07,7.39972e-06
-7.34854e-08,-1.97491e-08,8.4199e-08,2.6209e-07
-0.11248,0.0686229,-0.0265859,0.603284
-5.58456e-06,3.85754e-06,-2.04593e-05,4.97891e-05
2.11731e-06,3.67522e-07,-2.84262e-06,8.22978e-06
-2.56281e-08,-1.0404e-08,1.56681e-08,7.34132e-08
-2.94806e-08,-1.28638e-08,7.33724e-09,7.619e-08
-3.34811e-08,-1.53344e-08,-1.13974e-09,8.50858e-08
-3.10052e-07,-7.92781e-07,3.997e-07,2.17183e-06
-4.20004e-08,-7.5636e-08,2.23311e-09,1.99865e-07
-0.00338435,0.00170684,0.000157611,0.00901658
-6.7998e-08,3.11529e-09,-2.99148e-08,1.7171e-07
2.11993e-05,-0.00020211,-0.000142847,0.000574754
-2.66195e-08,-1.0777e-08,1.41186e-08,7.39037e-08
-17.2919,23.356,-23.15,21.5365
8.27074e-05,0.000432896,-9.86847e-05,0.00104664
-6.54133e-05,-8.81163e-05,-4.70187e-05,0.000275974
4.97264e-08,7.53371e-08,5.12697e-08,2.39744e-07
-0.000263688,0.00060801,-0.000212291,0.00161571
-2.70478e-08,-1.08137e-08,1.39144e-08,7.45521e-08
0.000401909,-0.000500967,-0.000924986,0.00262312
0.970949,-2.40621,3.48662,9.85543
gbest_X1,gbest_X2,gbest_X3,gbest
1.49888e-08,4.06643e-09,9.80918e-09,4.24214e-08
