X1,X2,X3,fitness_val
-4.57204,-6.63198,-9.53322,17.5582
-3.57913e-08,-1.53206e-08,1.163e-08,9.38365e-08
-3.74042,3.68034,0.16033,10.7931
-2.80999e-08,-1.0218e-08,2.86498e-08,9.56333e-08
-0.000354753,0.000550428,0.000570003,0.00201834
3.25603e-06,2.67192e-07,6.66057e-06,1.71336e-05
-8.89886e-08,-3.52265e-08,1.10139e-08,2.22485e-07
0.0273429,-0.575504,0.200382,2.935
7.87676e-06,-6.48797e-06,-3.26533e-06,2.4746e-05
1.19241e-08,-7.34962e-09,-6.80455e-08,1.60439e-07
0.16091,-0.0985472,0.0378738,0.992904
1.73265e-05,-1.21084e-05,6.39759e-05,0.000155682
-3.00655e-06,-5.41445e-07,3.96075e-06,1.15521e-05
-2.74443e-08,-1.01747e-08,2.93079e-08,9.5657e-08
-2.87276e-08,-1.02595e-08,2.80197e-08,9.56559e-08
-2.77111e-08,-1.01907e-08,2.90362e-08,9.56344e-08
1.97435e-06,5.55985e-06,-2.77692e-06,1.506e-05
-1.00847e-08,1.06563e-07,2.52279e-08,2.5397e-07
-0.173517,0.0915732,0.0109833,1.0152
4.29387e-08,-4.6064e-08,9.00677e-08,2.53801e-07
-9.65265e-05,0.000918612,0.000649357,0.00263014
-2.90797e-08,-1.03892e-08,2.76786e-08,9.57683e-08
11.68,-15.8,-27.2735,21.39
-4.902e-05,-0.000283908,6.86316e-05,0.000685534
4.56809e-05,4.40834e-05,3.81413e-05,0.000171131
6.73133e-08,9.99341e-08,6.68481e-08,3.18217e-07
0.000158279,-0.000348486,0.000125308,0.00093296
-3.05072e-08,-1.05112e-08,2.69979e-08,9.71613e-08
-0.00028843,0.000359017,0.000662929,0.0018757
-0.375358,0.950369,-1.37026,5.43777
gbest_X1,gbest_X2,gbest_X3,gbest
-3.57913e-08,-1.53206e-08,1.163e-08,9.38365e-08
