X1,X2,X3,fitness_val
-16.126,17.5808,14.81,20.8691
1.17762,-0.60839,0.375764,4.95471
0.123034,0.309104,0.0277713,1.91269
0.748411,-0.585074,0.560516,4.56103
-0.98575,0.319979,-3.29169,8.18219
0.789817,0.107923,-0.296107,3.30876
25.3447,-19.0612,-30.11,21.1292
-3.91502,14.0767,-2.47866,17.8189
-0.421866,0.345683,0.17576,3.28174
0.468091,-0.16335,-1.16696,4.42993
0.190687,0.186969,-0.11178,1.71982
0.0356176,0.851145,0.591281,3.70034
1.70395,0.249395,1.44793,6.63016
0.213329,0.325573,0.0977527,2.40726
0.162716,0.131181,-0.224185,1.83917
0.119381,0.284282,-0.0300186,1.77226
0.1895,0.182052,-0.116052,1.70505
0.255362,0.955432,0.816571,3.91151
0.692122,0.269555,0.342962,3.81167
5.75578,-0.530751,4.53022,13.6269
0.657998,0.917848,0.13579,3.79321
0.369012,0.158478,0.0452243,2.31417
0.292265,0.359831,0.211972,3.05961
0.113143,0.0820597,-0.131627,1.00074
0.431389,-1.21989,2.64569,7.84205
0.151404,0.851088,0.551785,3.87343
23.7219,2.58508,27.018,21.4208
17.4768,-4.35182,13.2774,20.6518
0.121948,0.136099,-0.149603,1.33024
-0.100807,0.296358,-0.370881,2.86328
gbest_X1,gbest_X2,gbest_X3,gbest
0.113143,0.0820597,-0.131627,1.00074
