X1,X2,X3,fitness_val
2.731,3.95772,5.69786,13.0719
-0.0104969,0.00567524,-0.00301848,0.0311132
-0.610213,-6.75118,-3.95255,13.5695
0.000467408,-0.000382677,1.27045e-05,0.00140185
2.96859e-05,-0.000697026,0.000612387,0.00215912
0.000239335,-0.000554195,1.20299e-05,0.00140086
-0.154189,-0.177352,0.00358698,1.30161
-0.00342813,0.356724,-0.0211032,1.94821
4.46313,-1.87659,-2.75978,11.2731
2.81999,-1.85911,-8.36405,14.5169
0.000338462,-0.000527018,0.000550219,0.00193767
5.96332e-05,-0.000946152,-0.00179657,0.00476447
-1.04278e-05,-0.000640778,0.000106276,0.00150771
-0.12147,-0.378633,-0.457206,3.34474
-0.000806502,0.00532521,0.00820467,0.0243748
4.06001e-05,-0.000628869,-0.000108591,0.00148404
0.0670598,0.0579278,-0.000261894,0.338739
-0.000239103,-0.000879707,0.000747452,0.00274716
0.000267696,-0.000546819,-0.000149814,0.00145495
0.131944,-0.0163274,0.110733,0.860062
2.45718,3.70967,0.986616,9.97248
-0.00188478,-0.00178515,0.0012717,0.00682422
-0.376413,-0.528412,0.583972,4.21008
0.000197682,-0.000558509,-1.77991e-05,0.00137508
-0.234036,0.861186,-1.81507,5.42122
0.00144241,-0.0104875,-0.00890107,0.0353341
-0.41779,0.76917,-0.26757,3.97332
4.13839,-0.0727366,4.24384,10.9376
-0.000231761,-0.000772456,-0.000235588,0.00195284
0.0304899,-0.0374405,0.0681343,0.312476
gbest_X1,gbest_X2,gbest_X3,gbest
0.000197682,-0.000558509,-1.77991e-05,0.00137508
